ID	REG	FOCUS	DSID	HAB_CO	HAB_CH	HAB_FI	PRE_CO	PRE_CH	PRE_FI	NPROJ	ACTION	COST	POST_CO	POST_CH	POST_FI
73ts2	Coos	1.0	NA	0.0136493678680856	0.0	0.0228795747768286	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
74ts2	Coos	1.0	NA	0.0178103129295175	0.0	0.0165900263593548	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
75ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
76ts2	Coos	1.0	NA	0.0	0.0	0.0009476906959575	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
77ts2	Coos	1.0	NA	0.0192757060391339	0.0	0.0219480095556441	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
78ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
79ts2	Coos	1.0	NA	0.0247385678279432	0.0	0.0227206978062217	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
80ts2	Coos	1.0	NA	0.0	0.0	0.0025140720451885	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
81ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
82ts2	Coos	1.0	NA	0.090718756328105	0.0057435854207692	0.0799196411184055	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
83ts2	Coos	1.0	NA	0.0283580095621311	0.0	0.0071801718652898	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
84ts2	Coos	1.0	NA	0.0	0.0	0.0357713400800127	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
85ts2	Coos	1.0	NA	0.0	0.0	0.0089578652999497	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
86ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
87ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
88ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
89ts2	Coos	1.0	NA	0.0	0.0	0.0308054680840048	0.0	0.0	0.0	1.0	0.0	260000.0	1.0	1.0	1.0
90ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
91ts2	Coos	1.0	NA	0.0	0.0	0.0307435208653623	0.0	0.0	0.0	1.0	0.0	200000.0	1.0	1.0	1.0
92ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
93ts2	Coos	1.0	NA	0.0	0.0	0.0382392107624525	0.0	0.0	0.0	1.0	0.0	360000.0	1.0	1.0	1.0
94ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
95ts2	Coos	1.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
96ts2	Coos	1.0	NA	0.0	0.0	0.0087238698418567	0.0	0.0	0.0	1.0	0.0	100000.0	1.0	1.0	1.0
97ts2	Coos	1.0	NA	0.109406548153293	0.0	0.0071131232483889	0.0	0.0	0.0	1.0	0.0	360000.0	1.0	1.0	1.0
98ts2	Coos	1.0	NA	0.0621000879558955	0.0	0.0070838180776448	0.0	0.0	0.0	1.0	0.0	360000.0	1.0	1.0	1.0
99ts2	Coos	1.0	NA	0.416124101048635	0.0	0.169437257825318	0.800000011920929	0.800000011920929	0.0	1.0	0.0	1900000.0	1.0	1.0	1.0
